date,platform,spend,impressions,clicks,attributed_sales,keyword,internal_sku
2026-06-09,bigbasket,980.66,1171,,4130,,40197850
2026-06-22,bigbasket,853.33,1290,,2653,,40197854
2026-06-22,bigbasket,0,0,,0,,40359935
2026-07-22,bigbasket,28.8,44,,1357,,40197851
2026-06-07,bigbasket,457.42,647,,3169,,40197860
2026-06-07,bigbasket,485.8,791,,1566,,40197851
2026-05-28,bigbasket,8.8,5,,0,,40197852
2026-05-28,bigbasket,984.12,865,,1344,,40359935
2026-05-22,bigbasket,219.94,204,,199,,40359935
2026-05-29,bigbasket,1550.96,1781,,3576,,40197850
2026-05-09,bigbasket,0,0,,0,,40197854
2026-06-10,bigbasket,991.4,1188,,2697,,40197850
2026-05-20,bigbasket,545.88,669,,1610,,40302639
2026-05-20,bigbasket,204.43,286,,506,,40220812
2026-05-20,bigbasket,0,0,,0,,40302635
2026-06-05,bigbasket,26.46,40,,319,,40197861
2026-05-24,bigbasket,625.8,1031,,2734,,40197851
2026-05-24,bigbasket,1016.74,1265,,3283,,40220813
2026-06-12,bigbasket,560.14,574,,1979,,40197854
2026-06-12,bigbasket,0,0,,0,,40359936
2026-05-19,bigbasket,251.36,343,,327,,40220812
2026-05-19,bigbasket,0,0,,0,,40197856
2026-06-01,bigbasket,0,0,,0,,40220812
2026-05-23,bigbasket,836.76,1131,,6235,,40359934
2026-05-23,bigbasket,649.1,772,,2168,,40359936
2026-05-23,bigbasket,0,0,,0,,40302639
2026-05-23,bigbasket,2.4,4,,0,,40197852
2026-06-14,bigbasket,308.17,417,,0,,40197860
2026-06-14,bigbasket,0,0,,0,,40220812
2026-06-15,bigbasket,141.11,223,,807,,40197860
2026-06-15,bigbasket,195.45,203,,0,,40197860
2026-06-29,bigbasket,0,0,,0,,40197851
2026-07-04,bigbasket,0,0,,0,,40197858
2026-07-09,bigbasket,597.24,683,,1670,,40359934
2026-06-25,bigbasket,0,0,,0,,40197850
2026-06-13,bigbasket,168.88,163,,998,,40197860
2026-06-13,bigbasket,621.13,630,,745,,40197854
2026-07-18,bigbasket,209.4,341,,1576,,40197851
2026-06-30,bigbasket,100.06,127,,1087,,40197860
2026-07-19,bigbasket,183.68,95,,952,,40359935
2026-06-28,bigbasket,0,0,,0,,40197854
2026-07-07,bigbasket,1190.34,1399,,7836,,40220813
2026-07-15,bigbasket,157.07,201,,338,,40359936
2026-06-21,bigbasket,162.9,176,,198,,40197851
2026-07-03,bigbasket,753.15,834,,7132,,40220813
2026-06-20,bigbasket,614.3,558,,2563,,40197850
2026-05-03,bigbasket,1211.42,1280,,4257,,40197854
2026-07-26,bigbasket,743.71,864,,5342,,40220813
2026-06-17,bigbasket,0,0,,0,,40220812
2026-06-17,bigbasket,518.52,809,,1881,,40197854
2026-05-05,bigbasket,641.55,865,,1790,,40197861
2026-07-22,bigbasket,1098.92,1287,,8665,,40220813
2026-07-11,bigbasket,335.94,385,,1244,,40359936
2026-06-26,bigbasket,0,0,,0,,40359935
2026-05-31,bigbasket,2192.89,2734,,7054,,40349409
2026-05-21,bigbasket,27.83,29,,0,,40220813
2026-06-11,bigbasket,0,0,,0,,40220813
2026-06-10,bigbasket,0.6,1,,0,,40197852
2026-05-20,bigbasket,100.92,125,,496,,40197854
2026-06-12,bigbasket,0,0,,0,,40197852
2026-06-12,bigbasket,567.24,575,,2719,,40197858
2026-06-12,bigbasket,358.2,391,,678,,40197851
2026-06-12,bigbasket,1063.54,1053,,3301,,40197850
2026-06-12,bigbasket,183.33,195,,1665,,40197860
2026-05-27,bigbasket,1556.84,1995,,2309,,40349409
2026-05-23,bigbasket,1214.38,1362,,7216,,40197850
2026-06-14,bigbasket,775.53,784,,4425,,40197858
2026-06-27,bigbasket,0,0,,0,,40197854
2026-07-08,bigbasket,0,0,,0,,40197860
2026-06-13,bigbasket,793.06,1019,,1972,,40220813
2026-06-13,bigbasket,921.64,975,,1690,,40359935
2026-06-30,bigbasket,242.09,303,,1725,,40197858
2026-06-30,bigbasket,0,0,,0,,40197858
2026-06-16,bigbasket,110.12,118,,698,,40197860
2026-06-16,bigbasket,557.33,868,,298,,40197854
2026-07-23,bigbasket,601.27,669,,2038,,40359936
2026-07-19,bigbasket,1294.95,1651,,11372,,40220813
2026-05-12,bigbasket,0,0,,0,,40220812
2026-07-13,bigbasket,234.85,274,,188,,40359936
2026-06-21,bigbasket,0,0,,0,,40197850
2026-07-03,bigbasket,0,0,,0,,40197850
2026-07-03,bigbasket,364.98,414,,2293,,40359936
2026-07-03,bigbasket,502.63,586,,1502,,40359934
2026-06-20,bigbasket,479.7,501,,4015,,40197858
2026-06-17,bigbasket,0,0,,0,,40197850
2026-06-22,bigbasket,0,0,,0,,40349409
2026-05-05,bigbasket,947.31,1062,,4680,,40197850
2026-06-06,bigbasket,1057.16,1175,,3688,,40197850
2026-05-15,bigbasket,0,0,,0,,40197850
2026-05-02,bigbasket,1022.92,1115,,9104,,40197861
2026-05-28,bigbasket,1519.68,1902,,3217,,40220813
2026-05-31,bigbasket,1639.78,1884,,3905,,40197850
2026-05-31,bigbasket,1111.38,1157,,3936,,40359935
2026-05-31,bigbasket,1251.82,1462,,3501,,40220813
2026-05-04,bigbasket,975.5,1214,,4340,,40197861
2026-05-04,bigbasket,1082.81,1317,,2018,,40197854
2026-05-22,bigbasket,0,0,,0,,40197853
2026-05-22,bigbasket,6.48,2,,0,,40197852
2026-05-22,bigbasket,160.31,206,,596,,40197854
2026-05-29,bigbasket,2.4,4,,0,,40197852
2026-05-21,bigbasket,0,0,,0,,40197857
2026-06-11,bigbasket,994.92,1115,,1430,,40197850
2026-05-20,bigbasket,390.34,547,,1744,,40197858
2026-05-20,bigbasket,0,0,,0,,40220814
2026-06-05,bigbasket,17.52,27,,99,,40220812
2026-05-25,bigbasket,145.43,181,,599,,40359934
2026-05-25,bigbasket,179.68,236,,89,,40220813
2026-06-12,bigbasket,0,0,,0,,40197856
2026-05-07,bigbasket,2.01,3,,0,,40197854
2026-05-27,bigbasket,832.8,1380,,928,,40197851
2026-06-01,bigbasket,0,0,,0,,40349409
2026-06-01,bigbasket,0,0,,0,,40197861
2026-05-23,bigbasket,664.62,650,,1075,,40359935
2026-06-14,bigbasket,1012.48,1128,,1988,,40197850
2026-07-24,bigbasket,998.03,1214,,10897,,40220813
2026-06-27,bigbasket,691.31,933,,4509,,40197854
2026-06-15,bigbasket,491.72,589,,1750,,40197850
2026-06-24,bigbasket,0,0,,0,,40197851
2026-06-13,bigbasket,455.7,730,,521,,40197851
2026-06-13,bigbasket,1.2,2,,0,,40197852
2026-07-19,bigbasket,576.6,610,,3437,,40349409
2026-07-17,bigbasket,444.6,721,,6987,,40197851
2026-06-28,bigbasket,665.03,867,,1657,,40220813
2026-05-12,bigbasket,0,0,,0,,40197850
2026-05-12,bigbasket,0,0,,0,,40197854
2026-07-15,bigbasket,299.97,337,,1493,,40349409
2026-07-20,bigbasket,495.26,528,,1550,,40359936
2026-07-21,bigbasket,969.06,1281,,10200,,40220813
2026-06-17,bigbasket,0,0,,0,,40220813
2026-06-17,bigbasket,162.86,261,,875,,40197860
2026-07-16,bigbasket,317.31,349,,815,,40359936
2026-06-22,bigbasket,844.22,1217,,2378,,40220813
2026-07-22,bigbasket,715.03,770,,1690,,40359936
2026-06-07,bigbasket,550.36,760,,1969,,40197858
2026-06-06,bigbasket,665.48,911,,5765,,40197858
2026-06-06,bigbasket,0,0,,0,,40197856
2026-06-26,bigbasket,411.88,565,,2003,,40197858
2026-06-26,bigbasket,686.49,877,,3625,,40220813
2026-06-26,bigbasket,0,0,,0,,40359936
2026-05-31,bigbasket,557.3,921,,2358,,40197851
2026-05-04,bigbasket,1040.23,1248,,6299,,40197850
2026-05-22,bigbasket,658.05,891,,3607,,40349409
2026-05-22,bigbasket,18.35,22,,0,,40220813
2026-05-22,bigbasket,451.16,613,,3090,,40220812
2026-05-21,bigbasket,317.02,410,,1061,,40197854
2026-05-21,bigbasket,559.76,586,,1342,,40302639
2026-05-30,bigbasket,1696.6,1928,,13051,,40197850
2026-06-05,bigbasket,236.3,387,,1462,,40197851
2026-05-25,bigbasket,557.4,918,,1189,,40197851
2026-06-12,bigbasket,344.02,289,,884,,40359935
2026-06-08,bigbasket,162.79,243,,998,,40197860
2026-06-08,bigbasket,938.5,1078,,2280,,40359935
2026-05-07,bigbasket,0,0,,0,,40220812
2026-05-01,bigbasket,1174.96,1291,,5004,,40197854
2026-07-24,bigbasket,406.22,221,,5644,,40359935
2026-07-24,bigbasket,733.34,870,,3569,,40359934
2026-06-27,bigbasket,0,0,,0,,40359935
2026-06-15,bigbasket,792.84,821,,437,,40197854
2026-06-29,bigbasket,406.38,581,,2119,,40197858
2026-06-29,bigbasket,596.5,817,,1056,,40220813
2026-06-29,bigbasket,0,0,,0,,40197850
2026-07-04,bigbasket,0,0,,0,,40197850
2026-06-25,bigbasket,0,0,,0,,40197858
2026-06-13,bigbasket,312.94,225,,676,,40359935
2026-07-23,bigbasket,525.89,582,,2004,,40359934
2026-06-19,bigbasket,235.05,366,,1974,,40197860
2026-06-28,bigbasket,216.48,291,,0,,40197860
2026-07-07,bigbasket,271.51,313,,698,,40359936
2026-07-05,bigbasket,967.02,1063,,9869,,40220813
2026-07-20,bigbasket,1102.95,1386,,11017,,40220813
2026-07-16,bigbasket,1173.97,1537,,13281,,40220813
2026-06-09,bigbasket,509.6,834,,1311,,40197851
2026-07-22,bigbasket,575.63,622,,1295,,40349409
2026-06-06,bigbasket,548.67,773,,4176,,40197860
2026-06-06,bigbasket,947.04,1017,,3450,,40359935
2026-05-28,bigbasket,1558.64,1983,,2875,,40359936
2026-05-22,bigbasket,434.56,532,,4124,,40220813
2026-05-22,bigbasket,298.39,409,,3343,,40197858
2026-06-02,bigbasket,0,0,,0,,40349409
2026-05-29,bigbasket,1034.88,985,,3325,,40359935
2026-05-21,bigbasket,0,0,,0,,40302635
2026-05-30,bigbasket,137.57,157,,1137,,40220813
2026-05-20,bigbasket,332,458,,807,,40220813
2026-05-24,bigbasket,0,0,,0,,40220812
2026-05-10,bigbasket,0,0,,0,,40220812
2026-06-14,bigbasket,197.79,208,,1096,,40197860
2026-06-14,bigbasket,466.46,649,,2194,,40197858
2026-07-24,bigbasket,100.8,165,,992,,40197851
2026-06-15,bigbasket,433.92,674,,1118,,40197854
2026-06-29,bigbasket,204.78,298,,1865,,40197860
2026-07-08,bigbasket,329.05,360,,783,,40359936
2026-07-04,bigbasket,758.34,861,,6782,,40220813
2026-07-09,bigbasket,929.03,1174,,8855,,40220813
2026-06-24,bigbasket,459.09,676,,3777,,40197858
2026-06-24,bigbasket,0,0,,0,,40197858
2026-06-25,bigbasket,209.12,270,,812,,40220813
2026-06-13,bigbasket,0,0,,0,,40197852
2026-06-16,bigbasket,488.5,728,,2285,,40220813
2026-06-16,bigbasket,1.8,2,,0,,40197852
2026-06-16,bigbasket,329.4,354,,604,,40197851
2026-06-28,bigbasket,0,0,,0,,40197850
2026-05-26,bigbasket,754.22,719,,1119,,40359935
2026-07-10,bigbasket,333.86,367,,2211,,40359936
2026-07-25,bigbasket,703.33,769,,3631,,40359936
2026-07-25,bigbasket,730.85,846,,4846,,40220813
2026-07-25,bigbasket,775.69,886,,9926,,40349409
2026-06-20,bigbasket,594.91,625,,2478,,40197854
2026-06-20,bigbasket,486.14,417,,1006,,40359935
2026-05-03,bigbasket,1436.04,1615,,7971,,40197850
2026-06-18,bigbasket,278.56,446,,846,,40197858
2026-06-09,bigbasket,227.94,358,,1595,,40197858
2026-07-11,bigbasket,479.35,547,,721,,40349409
2026-05-22,bigbasket,0,0,,0,,40197855
2026-05-21,bigbasket,0,0,,0,,40220814
2026-06-11,bigbasket,205.42,320,,2335.92,,40197860
2026-06-10,bigbasket,281.28,450,,2458,,40197858
2026-05-07,bigbasket,2.04,3,,0,,40197861
2026-05-27,bigbasket,1405.54,1665,,2980,,40197850
2026-05-27,bigbasket,1234.32,1563,,2152,,40220813
2026-05-27,bigbasket,1213.3,1515,,2649,,40359936
2026-05-01,bigbasket,1044.5,1153,,4918,,40220812
2026-06-01,bigbasket,0,0,,0,,40359935
2026-05-23,bigbasket,1031.67,1328,,5282,,40349409
2026-06-14,bigbasket,0,0,,0,,40197852
2026-07-02,bigbasket,0,0,,0,,40197854
2026-06-27,bigbasket,427.72,566,,3744,,40197858
2026-07-08,bigbasket,517.39,579,,1570,,40359934
2026-06-13,bigbasket,686.85,674,,3329,,40197858
2026-06-13,bigbasket,374.06,280,,675,,40197850
2026-07-06,bigbasket,538.89,593,,1932,,40359934
2026-07-18,bigbasket,713.78,776,,2883,,40359934
2026-06-23,bigbasket,0,0,,0,,40197850
2026-06-16,bigbasket,521.48,433,,457,,40359935
2026-07-17,bigbasket,309.68,342,,3571,,40349409
2026-06-19,bigbasket,445.76,466,,288,,40197854
2026-06-19,bigbasket,530.64,544,,2965,,40197858
2026-06-19,bigbasket,827.07,1189,,4545,,40197854
2026-07-12,bigbasket,1071.8,1366,,9831,,40220813
2026-07-13,bigbasket,943.35,1241,,9787,,40220813
2026-07-05,bigbasket,249.75,285,,516,,40359936
2026-06-21,bigbasket,827.7,1216,,4288,,40197854
2026-06-21,bigbasket,567.74,595,,935,,40197854
2026-07-20,bigbasket,213.28,97,,1329,,40359935
2026-07-20,bigbasket,24,37,,376,,40197851
2026-07-21,bigbasket,232.9,300,,288,,40359934
2026-05-26,bigbasket,2.4,4,,0,,40197852
2026-07-26,bigbasket,806.89,909,,3539,,40359934
2026-06-03,bigbasket,0,0,,0,,40359934
2026-06-18,bigbasket,651.18,535,,1148,,40197850
2026-06-17,bigbasket,284.01,450,,1284,,40197858
2026-06-07,bigbasket,0,0,,0,,40197856
2026-05-06,bigbasket,112.31,157,,258,,40197861
2026-06-26,bigbasket,163.57,244,,1775,,40197860
2026-05-22,bigbasket,261.6,431,,566,,40197851
2026-05-22,bigbasket,0.6,1,,0,,40220814
2026-05-22,bigbasket,0,0,,0,,40220812
2026-06-02,bigbasket,0,0,,0,,40359934
2026-05-29,bigbasket,1647.15,2116,,5625,,40359934
2026-05-30,bigbasket,1391.28,1482,,4383,,40359935
2026-06-11,bigbasket,881.88,971,,3130,,40359935
2026-05-14,bigbasket,0,0,,0,,40197854
2026-06-10,bigbasket,0,0,,0,,40359936
2026-06-10,bigbasket,907.74,1092,,1767,,40359935
2026-06-10,bigbasket,559.94,869,,1132,,40197854
2026-05-20,bigbasket,0,0,,0,,40197856
2026-05-20,bigbasket,241.24,332,,199,,40197860
2026-06-08,bigbasket,0,0,,0,,40197856
2026-06-04,bigbasket,0,0,,0,,40359935
2026-05-19,bigbasket,477.33,515,,3914,,40197850
2026-05-19,bigbasket,332.72,451,,1914,,40197858
2026-06-14,bigbasket,849.48,943,,437,,40359935
2026-06-14,bigbasket,0,0,,0,,40197852
2026-07-14,bigbasket,217.76,263,,1852,,40359934
2026-06-15,bigbasket,319.9,511,,687,,40197851
2026-06-29,bigbasket,712.15,1025,,839,,40197854
2026-06-24,bigbasket,826.33,1112,,1694,,40220813
2026-07-01,bigbasket,472.19,581,,576,,40197854
2026-07-01,bigbasket,512.64,605,,563,,40220813
2026-06-13,bigbasket,283.5,305,,396,,40197851
2026-06-16,bigbasket,0,0,,0,,40197851
2026-06-19,bigbasket,515.64,400,,507,,40359935
2026-07-07,bigbasket,460.12,534,,2551,,40359934
2026-06-21,bigbasket,492.3,374,,2730,,40359935
2026-07-10,bigbasket,959.92,1184,,12774,,40220813
2026-06-20,bigbasket,237.46,374,,1735,,40197860
2026-07-26,bigbasket,685.62,765,,1899,,40359936
2026-06-17,bigbasket,635.74,522,,861,,40197850
2026-06-17,bigbasket,447.11,460,,1473,,40197858
2026-07-22,bigbasket,742.2,809,,1151,,40359934
2026-06-07,bigbasket,2.4,4,,0,,40197852
2026-05-02,bigbasket,1197.2,1274,,5213,,40197854
2026-05-28,bigbasket,975.6,1617,,2920,,40197851
2026-05-31,bigbasket,1682.15,1992,,4047,,40359936
2026-05-22,bigbasket,380.89,566,,1004,,40359934
2026-05-22,bigbasket,457.87,565,,944,,40359936
2026-05-29,bigbasket,1327.59,1667,,4832,,40359936
2026-05-30,bigbasket,756.2,1250,,5552,,40197851
2026-05-30,bigbasket,217.08,258,,989,,40359934
2026-06-11,bigbasket,0,0,,0,,40359936
2026-05-25,bigbasket,250.4,323,,488,,40359936
2026-05-25,bigbasket,0,0,,0,,40220812
2026-05-25,bigbasket,0,0,,0,,40197854
2026-06-04,bigbasket,0,0,,0,,40359934
2026-05-27,bigbasket,705,574,,3967,,40359935
2026-06-01,bigbasket,1.2,1,,0,,40197850
2026-06-14,bigbasket,545.3,886,,764,,40197851
2026-07-02,bigbasket,0,0,,0,,40197858
2026-07-04,bigbasket,293.84,337,,844,,40359936
2026-07-04,bigbasket,811.61,972,,7526,,40349409
2026-06-25,bigbasket,0,0,,0,,40359935
2026-06-13,bigbasket,1058.62,1153,,3084,,40197850
2026-06-13,bigbasket,0,0,,0,,40197856
2026-07-18,bigbasket,1104.15,1406,,11155,,40220813
2026-07-19,bigbasket,817.84,892,,1322,,40359934
2026-07-17,bigbasket,639.93,720,,3280,,40359934
2026-06-19,bigbasket,686.9,553,,2433,,40197850
2026-05-12,bigbasket,0,0,,0,,40197861
2026-07-07,bigbasket,503.62,575,,1165,,40349409
2026-07-15,bigbasket,1092.19,1432,,10644,,40220813
2026-06-21,bigbasket,98.01,102,,0,,40197860
2026-06-21,bigbasket,0,0,,0,,40359935
2026-07-03,bigbasket,0,0,,0,,40197850
2026-05-26,bigbasket,783.6,1297,,709,,40197851
2026-07-25,bigbasket,974.55,1137,,4738,,40359934
2026-06-18,bigbasket,84.62,92,,0,,40197860
2026-06-18,bigbasket,147.71,234,,1401,,40197860
2026-06-18,bigbasket,0,0,,0,,40197851
2026-06-17,bigbasket,464.7,703,,975,,40220813
2026-06-17,bigbasket,0,0,,0,,40197851
2026-07-16,bigbasket,405.63,436,,1740,,40349409
2026-06-09,bigbasket,0,0,,0,,40197852
2026-06-07,bigbasket,0,0,,0,,40359934
2026-06-06,bigbasket,7.68,4,,0,,40197852
2026-05-06,bigbasket,142.29,180,,465,,40197850
2026-05-22,bigbasket,290.82,398,,518,,40197861
2026-05-30,bigbasket,184.18,211,,1054,,40359936
2026-06-11,bigbasket,539.6,879,,1732,,40197851
2026-06-11,bigbasket,583.04,885,,1511,,40197854
2026-06-11,bigbasket,0,0,,0,,40197852
2026-05-20,bigbasket,858.09,907,,5498,,40197850
2026-06-05,bigbasket,57.2,91,,517,,40197858
2026-05-24,bigbasket,0,0,,0,,40197854
2026-05-10,bigbasket,0,0,,0,,40197861
2026-05-19,bigbasket,121.18,162,,0,,40197861
2026-05-19,bigbasket,0,0,,0,,40302635
2026-06-01,bigbasket,0,0,,0,,40197854
2026-06-14,bigbasket,794.25,802,,864,,40197854
2026-06-27,bigbasket,0,0,,0,,40197850
2026-06-15,bigbasket,498.48,515,,1382,,40359935
2026-07-08,bigbasket,1017.55,1271,,10475,,40220813
2026-06-13,bigbasket,313.78,413,,0,,40197860
2026-07-06,bigbasket,320.71,358,,486,,40359936
2026-07-06,bigbasket,0,0,,0,,40197850
2026-06-23,bigbasket,834.32,1193,,2973,,40220813
2026-06-16,bigbasket,0,0,,0,,40359935
2026-07-17,bigbasket,359.2,168,,4087,,40359935
2026-07-13,bigbasket,396.7,441,,1782,,40349409
2026-07-15,bigbasket,462.18,553,,3708,,40359934
2026-07-05,bigbasket,549.83,590,,2577,,40359934
2026-06-21,bigbasket,447,675,,1802,,40197858
2026-05-26,bigbasket,1287.22,1544,,3965,,40197850
2026-05-26,bigbasket,774.93,973,,2211,,40220813
2026-05-03,bigbasket,1094.24,1149,,3118,,40220812
2026-06-18,bigbasket,0,0,,0,,40359936
2026-06-17,bigbasket,545.18,427,,278,,40359935
2026-06-09,bigbasket,906.76,1071,,2772,,40359935
2026-06-07,bigbasket,0,0,,0,,40220813
2026-06-06,bigbasket,1142.21,1582,,4799,,40197854
2026-05-28,bigbasket,2058.66,2628,,4368,,40349409
2026-05-31,bigbasket,2603.51,3254,,10169,,40359934
2026-05-22,bigbasket,18.48,24,,0,,40197860
2026-05-22,bigbasket,0,0,,0,,40302635
2026-05-11,bigbasket,0,0,,0,,40197854
2026-05-21,bigbasket,347.73,454,,1464,,40197858
2026-05-20,bigbasket,0,0,,0,,40197853
2026-06-05,bigbasket,501.08,481,,1094,,40359935
2026-06-05,bigbasket,47.23,72,,499,,40197860
2026-06-05,bigbasket,0,0,,0,,40197856
2026-05-24,bigbasket,3.44,4,,119,,40197852
2026-05-25,bigbasket,311.48,406,,199,,40349409
2026-06-12,bigbasket,0,0,,0,,40197852
2026-06-08,bigbasket,1.2,2,,0,,40197852
2026-06-04,bigbasket,0,0,,0,,40220813
2026-05-19,bigbasket,87.78,112,,0,,40197854
2026-06-27,bigbasket,160.84,220,,119,,40197860
2026-06-15,bigbasket,379.7,312,,873,,40197850
2026-06-29,bigbasket,0,0,,0,,40197850
2026-06-24,bigbasket,875.41,1229,,3445,,40197854
2026-06-25,bigbasket,78.1,113,,846,,40197858
2026-07-18,bigbasket,522.7,552,,2595,,40349409
2026-07-18,bigbasket,430.12,192,,3672,,40359935
2026-06-23,bigbasket,453.61,703,,4338,,40197858
2026-06-16,bigbasket,331.77,517,,1520,,40197858
2026-06-16,bigbasket,604.52,522,,1477,,40197850
2026-06-19,bigbasket,0,0,,0,,40197850
2026-06-19,bigbasket,883.27,1207,,2270,,40220813
2026-06-28,bigbasket,662.39,904,,3076,,40197854
2026-06-28,bigbasket,0,0,,0,,40197851
2026-07-05,bigbasket,0,0,,0,,40359935
2026-06-21,bigbasket,883.45,1237,,3173,,40220813
2026-07-20,bigbasket,891.35,999,,3643,,40359934
2026-05-26,bigbasket,680.85,814,,6818,,40359934
2026-06-20,bigbasket,448.53,675,,1813,,40197858
2026-05-03,bigbasket,1021.56,1128,,3278,,40197861
2026-06-18,bigbasket,0,0,,0,,40220812
2026-06-17,bigbasket,107.42,113,,0,,40197860
2026-06-17,bigbasket,0,0,,0,,40359936
2026-06-22,bigbasket,242.47,385,,1275,,40197860
2026-05-28,bigbasket,1118.32,1350,,4017,,40359934
2026-05-06,bigbasket,136.67,193,,319,,40197854
2026-07-11,bigbasket,1070.54,1334,,12621,,40220813
2026-06-26,bigbasket,676.29,910,,3519,,40197854
2026-05-29,bigbasket,1782.72,2317,,3404,,40349409
2026-05-21,bigbasket,0,0,,0,,40197854
2026-06-05,bigbasket,0,0,,0,,40359936
2026-05-24,bigbasket,1299.32,1544,,4795,,40197850
2026-06-12,bigbasket,403.96,354,,887,,40197850
2026-06-12,bigbasket,907.72,836,,3410,,40359935
2026-06-12,bigbasket,265.92,384,,616,,40220813
2026-05-10,bigbasket,0,0,,0,,40197850
2026-06-08,bigbasket,518.9,854,,2375,,40197851
2026-05-01,bigbasket,1014.34,1159,,4963,,40197861
2026-06-14,bigbasket,865.81,1198,,1520,,40197854
2026-06-15,bigbasket,6.3,7,,0,,40197851
2026-06-29,bigbasket,0,0,,0,,40359935
2026-06-13,bigbasket,833.31,1094,,705,,40197854
2026-06-19,bigbasket,86.05,93,,199,,40197860
2026-07-21,bigbasket,15,25,,0,,40197851
2026-07-10,bigbasket,606.67,683,,2307,,40359934
2026-06-20,bigbasket,828.87,1189,,5248,,40197854
2026-06-18,bigbasket,539.35,846,,1441,,40197854
2026-05-05,bigbasket,633.19,855,,2662,,40220812
2026-06-07,bigbasket,912.4,1025,,3241,,40359935
2026-06-07,bigbasket,945.3,1300,,4376,,40197854
2026-05-15,bigbasket,0,0,,0,,40220812
2026-05-31,bigbasket,2.32,3,,0,,40197852
2026-05-22,bigbasket,0,0,,0,,40197856
2026-05-21,bigbasket,296.88,397,,2535,,40197861
2026-06-10,bigbasket,0,0,,0,,40197856
2026-05-08,bigbasket,1.51,1,,0,,40197854
2026-06-05,bigbasket,0,0,,0,,40359934
2026-05-27,bigbasket,14.76,7,,0,,40197852
2026-05-01,bigbasket,1457.1,1598,,9752,,40197850
2026-06-01,bigbasket,0,0,,0,,40359936
2026-07-14,bigbasket,184.08,202,,488,,40349409
2026-07-14,bigbasket,736.42,979,,8363,,40220813
2026-07-14,bigbasket,53.49,66,,767,,40359936
2026-06-15,bigbasket,792.76,800,,3636,,40197858
2026-06-15,bigbasket,407.09,594,,178,,40220813
2026-06-15,bigbasket,279.12,220,,169,,40359935
2026-07-04,bigbasket,570.53,639,,3482,,40359934
