date,platform,internal_sku,city,units,revenue
2026-07-23,blinkit,63565,mumbai,1,189
2026-07-23,blinkit,63565,ludhiana,1,189
2026-07-23,blinkit,63565,bangalore,1,189
2026-07-23,blinkit,78553,bangalore,1,99
2026-07-23,blinkit,68254,bangalore,1,149
2026-07-23,blinkit,18503,delhi,1,99
2026-07-23,blinkit,792937,mangaluru,1,95
2026-07-23,blinkit,78553,nagpur,1,99
2026-07-23,blinkit,78553,pune,1,99
2026-07-23,blinkit,792937,hyderabad,1,95
2026-07-23,blinkit,63565,manipal,1,189
2026-07-23,blinkit,63565,bangalore,1,189
2026-07-23,blinkit,68254,chennai,1,149
2026-07-22,blinkit,78553,bangalore,1,99
2026-07-22,blinkit,78553,bangalore,1,99
2026-07-22,blinkit,792937,kurnool,2,190
2026-07-22,blinkit,792937,pune,1,95
2026-07-22,blinkit,18504,dibrugarh,1,319
2026-07-22,blinkit,18506,mumbai,1,499
2026-07-22,blinkit,68254,bangalore,1,149
2026-07-22,blinkit,792937,bangalore,1,95
2026-07-22,blinkit,68254,delhi,1,149
2026-07-22,blinkit,63565,central goa,2,378
2026-07-22,blinkit,63565,patna,1,189
2026-07-22,blinkit,68254,chennai,1,149
2026-07-22,blinkit,18503,bangalore,1,99
2026-07-23,blinkit,68254,bangalore,1,149
2026-07-23,blinkit,18503,kolkata,1,99
2026-07-23,blinkit,18504,vizag,1,319
2026-07-23,blinkit,68254,delhi,2,298
2026-07-23,blinkit,63565,delhi,1,189
2026-07-23,blinkit,78553,mumbai,1,99
2026-07-23,blinkit,78553,bangalore,1,99
2026-07-23,blinkit,792937,faridabad,1,92
2026-07-23,blinkit,78553,chennai,1,99
2026-07-23,blinkit,18503,manipal,1,99
2026-07-23,blinkit,792937,pune,1,95
2026-07-23,blinkit,18503,mysore,1,99
2026-07-23,blinkit,63565,bangalore,1,189
2026-07-23,blinkit,18503,delhi,1,99
2026-07-23,blinkit,18504,faridabad,1,319
2026-07-23,blinkit,18503,manipal,1,99
2026-07-23,blinkit,197453,nagpur,1,169
2026-07-23,blinkit,792937,chennai,1,95
2026-07-23,blinkit,18503,bangalore,1,99
2026-07-23,blinkit,68254,mumbai,1,149
2026-07-23,blinkit,63565,lucknow,1,189
2026-07-23,blinkit,78553,vizag,1,99
2026-07-23,blinkit,792937,bangalore,1,95
2026-07-23,blinkit,78553,bangalore,1,99
2026-07-23,blinkit,78553,chennai,1,99
2026-07-23,blinkit,78553,chennai,1,99
2026-07-23,blinkit,63565,kolkata,1,189
2026-07-23,blinkit,63565,chennai,2,378
2026-07-23,blinkit,18504,karimnagar,1,319
2026-07-23,blinkit,63565,bangalore,1,189
2026-07-23,blinkit,792937,bangalore,1,95
2026-07-23,blinkit,792937,noida,1,95
2026-07-23,blinkit,18503,nellore,1,99
2026-07-23,blinkit,792937,mumbai,2,190
2026-07-23,blinkit,78553,mumbai,1,99
2026-07-23,blinkit,78553,bangalore,1,99
2026-07-23,blinkit,18504,kolkata,1,319
2026-07-23,blinkit,68254,bangalore,1,149
2026-07-23,blinkit,63565,bangalore,1,189
2026-07-23,blinkit,63565,bangalore,2,378
2026-07-23,blinkit,18504,bangalore,1,319
2026-07-23,blinkit,18506,bangalore,2,998
2026-07-23,blinkit,18503,chennai,2,198
2026-07-23,blinkit,792937,chennai,1,95
2026-07-23,blinkit,792937,hyderabad,1,95
2026-07-23,blinkit,792937,bangalore,4,380
2026-07-23,blinkit,792937,delhi,3,285
2026-07-23,blinkit,18503,hyderabad,2,198
2026-07-23,blinkit,792937,pune,1,95
2026-07-23,blinkit,68254,karimnagar,1,149
2026-07-23,blinkit,18506,bangalore,1,499
2026-07-23,blinkit,63565,allahabad,1,189
2026-07-23,blinkit,78553,bangalore,1,99
2026-07-23,blinkit,792937,hyderabad,1,95
2026-07-23,blinkit,18506,bangalore,1,499
2026-07-23,blinkit,18503,bangalore,1,99
2026-07-23,blinkit,63565,hyderabad,1,189
2026-07-23,blinkit,18504,thrissur,2,638
2026-07-23,blinkit,63565,bangalore,2,378
2026-07-23,blinkit,292876,jabalpur,1,125
2026-07-23,blinkit,792937,bangalore,1,95
2026-07-23,blinkit,63565,jabalpur,1,189
2026-07-23,blinkit,78553,pune,1,99
2026-07-23,blinkit,792937,pune,1,95
2026-07-23,blinkit,78553,bangalore,1,99
2026-07-23,blinkit,18503,bhopal,1,99
2026-07-23,blinkit,63565,chennai,1,189
2026-07-23,blinkit,68254,bangalore,1,149
2026-07-23,blinkit,18504,delhi,1,319
2026-07-23,blinkit,68254,mumbai,1,149
2026-07-23,blinkit,68254,bangalore,1,149
2026-07-23,blinkit,792937,bangalore,1,95
2026-07-22,blinkit,78553,mumbai,1,99
2026-07-22,blinkit,68254,delhi,1,149
2026-07-22,blinkit,792937,gurgaon,1,95
2026-07-22,blinkit,78553,chennai,1,99
2026-07-22,blinkit,18503,chennai,1,99
2026-07-22,blinkit,63565,hyderabad,1,189
2026-07-22,blinkit,63565,mysore,1,189
2026-07-22,blinkit,18506,patna,1,499
2026-07-22,blinkit,18503,bhubaneswar,1,99
2026-07-22,blinkit,78553,pune,1,99
2026-07-22,blinkit,63565,delhi,1,189
2026-07-22,blinkit,18503,chennai,1,99
2026-07-22,blinkit,792937,mumbai,1,95
2026-07-22,blinkit,18504,kozhikode,2,638
2026-07-21,blinkit,78553,chennai,3,297
2026-07-21,blinkit,18503,bangalore,1,99
2026-07-21,blinkit,792937,chennai,2,190
2026-07-21,blinkit,63565,mangaluru,1,189
2026-07-21,blinkit,18503,patna,1,99
2026-07-21,blinkit,18503,mumbai,1,99
2026-07-21,blinkit,292876,patna,1,125
2026-07-21,blinkit,68254,chennai,1,149
2026-07-21,blinkit,792937,chennai,1,95
2026-07-21,blinkit,792937,mumbai,1,95
2026-07-21,blinkit,18504,bangalore,1,319
2026-07-21,blinkit,18503,central goa,2,198
2026-07-21,blinkit,18504,bangalore,1,319
2026-07-21,blinkit,68254,bangalore,1,149
2026-07-21,blinkit,78553,mumbai,1,99
2026-07-21,blinkit,18503,chennai,3,297
2026-07-21,blinkit,63565,chennai,2,378
2026-07-21,blinkit,78553,bhubaneswar,1,99
2026-07-21,blinkit,68254,chennai,1,149
2026-07-21,blinkit,792937,hubli,1,95
2026-07-23,blinkit,18506,hyderabad,1,499
2026-07-23,blinkit,78553,mumbai,1,99
2026-07-23,blinkit,18504,hyderabad,1,319
2026-07-23,blinkit,18504,bangalore,1,319
2026-07-23,blinkit,68254,chennai,1,149
2026-07-23,blinkit,63565,indore,1,189
2026-07-23,blinkit,792937,delhi,1,95
2026-07-23,blinkit,792937,hubli,2,190
2026-07-23,blinkit,18503,pune,1,99
2026-07-23,blinkit,792937,central goa,1,95
2026-07-23,blinkit,63565,delhi,1,189
2026-07-23,blinkit,792937,mumbai,2,190
2026-07-23,blinkit,78553,noida,1,99
2026-07-23,blinkit,78553,bangalore,2,198
2026-07-23,blinkit,18503,khammam,1,99
2026-07-23,blinkit,68254,hyderabad,1,149
2026-07-20,blinkit,292876,raipur,1,125
2026-07-20,blinkit,792937,gurgaon,1,95
2026-07-20,blinkit,78553,chennai,3,297
2026-07-20,blinkit,18503,hyderabad,1,99
2026-07-20,blinkit,792937,bangalore,1,95
2026-07-20,blinkit,792937,chennai,1,95
2026-07-20,blinkit,78553,mumbai,1,99
2026-07-20,blinkit,18503,noida 1,1,99
2026-07-20,blinkit,18506,mumbai,1,499
2026-07-20,blinkit,18503,bangalore,1,99
2026-07-20,blinkit,63565,delhi,1,189
2026-07-20,blinkit,18506,shivamogga,1,499
2026-07-19,blinkit,18504,chennai,1,319
2026-07-19,blinkit,18506,mumbai,1,499
2026-07-19,blinkit,792937,delhi,1,95
2026-07-19,blinkit,78553,bangalore,1,99
2026-07-19,blinkit,63565,delhi,1,189
2026-07-19,blinkit,792937,bangalore,2,190
2026-07-19,blinkit,18503,bangalore,1,99
2026-07-19,blinkit,63565,mumbai,1,189
2026-07-19,blinkit,792937,gurgaon,1,95
2026-07-19,blinkit,18506,hyderabad,1,499
2026-07-19,blinkit,792937,pune,1,95
2026-07-19,blinkit,78553,guntur,1,99
2026-07-19,blinkit,63565,central goa,1,189
2026-07-19,blinkit,18503,bhubaneswar,3,297
2026-07-19,blinkit,18503,mumbai,3,297
2026-07-19,blinkit,18504,mumbai,2,638
2026-07-19,blinkit,68254,bangalore,2,298
2026-07-19,blinkit,68254,kanchipuram,1,149
2026-07-19,blinkit,18504,hyderabad,1,319
2026-07-19,blinkit,63565,kolkata,1,189
2026-07-19,blinkit,18506,bangalore,2,998
2026-07-19,blinkit,63565,pune,1,189
2026-07-19,blinkit,78553,chennai,1,99
2026-07-19,blinkit,18506,mumbai,1,499
2026-07-19,blinkit,792937,hyderabad,2,190
2026-07-19,blinkit,68254,bangalore,3,447
2026-07-19,blinkit,18503,pune,1,99
2026-07-19,blinkit,18503,delhi,1,99
2026-07-19,blinkit,18503,pune,1,99
2026-07-19,blinkit,792937,pune,1,95
2026-07-19,blinkit,63565,bangalore,1,189
2026-07-19,blinkit,18503,bangalore,1,99
2026-07-19,blinkit,63565,bangalore,1,189
2026-07-19,blinkit,63565,pune,1,189
2026-07-19,blinkit,68254,noida 1,1,149
2026-07-19,blinkit,792937,mumbai,1,95
2026-07-19,blinkit,18503,mangaluru,3,297
2026-07-19,blinkit,197453,bangalore,1,169
2026-07-19,blinkit,792937,chennai,1,95
2026-07-19,blinkit,18503,bangalore,1,99
2026-07-19,blinkit,18506,delhi,1,499
2026-07-19,blinkit,18506,bangalore,1,499
2026-07-19,blinkit,197453,bangalore,2,338
2026-07-19,blinkit,63565,gurgaon,1,189
2026-07-19,blinkit,57850,guwahati,1,109
2026-07-19,blinkit,78553,central goa,1,99
2026-07-19,blinkit,68254,mumbai,1,149
2026-07-19,blinkit,63565,bangalore,1,189
2026-07-19,blinkit,78553,bangalore,1,99
2026-07-19,blinkit,792937,bangalore,1,95
2026-07-19,blinkit,197453,hyderabad,1,169
2026-07-19,blinkit,18503,kolhapur,1,99
2026-07-19,blinkit,18506,bangalore,1,499
2026-07-19,blinkit,68254,bangalore,1,149
2026-07-19,blinkit,18503,kolkata,1,99
2026-07-19,blinkit,78553,ahmedabad,1,99
2026-07-19,blinkit,18503,bangalore,1,99
2026-07-19,blinkit,18503,kochi,1,99
2026-07-19,blinkit,18503,gurgaon,1,99
2026-07-19,blinkit,18504,kolkata,2,638
2026-07-19,blinkit,792937,delhi,1,95
2026-07-19,blinkit,18506,mumbai,1,499
2026-07-19,blinkit,18504,bangalore,1,319
2026-07-19,blinkit,792937,pune,1,95
2026-07-19,blinkit,68254,hyderabad,1,149
2026-07-19,blinkit,68254,delhi,1,149
2026-07-19,blinkit,18503,hyderabad,1,99
2026-07-19,blinkit,68254,hyderabad,1,149
2026-07-19,blinkit,18503,noida,1,99
2026-07-19,blinkit,18503,kolkata,1,99
2026-07-19,blinkit,792937,mumbai,1,95
2026-07-19,blinkit,792937,mumbai,1,95
2026-07-19,blinkit,792937,bangalore,1,95
2026-07-11,blinkit,792937,hyderabad,2,190
2026-07-11,blinkit,63565,chennai,1,189
2026-07-11,blinkit,792937,bangalore,1,95
2026-07-11,blinkit,18503,bangalore,1,99
2026-07-11,blinkit,18503,chennai,2,198
2026-07-11,blinkit,78553,bangalore,1,99
2026-07-11,blinkit,18506,pune,1,499
2026-07-11,blinkit,78553,pune,1,99
2026-07-11,blinkit,18503,hyderabad,2,198
2026-07-11,blinkit,68254,hyderabad,1,149
2026-07-11,blinkit,63565,mumbai,1,189
2026-07-11,blinkit,18503,gurgaon,2,198
2026-07-11,blinkit,78553,ahmedabad,1,99
2026-07-11,blinkit,63565,pune,1,189
2026-07-11,blinkit,63565,bangalore,2,378
2026-07-11,blinkit,792937,bangalore,1,95
2026-07-11,blinkit,78553,manipal,1,99
2026-07-11,blinkit,197453,hyderabad,2,338
2026-07-11,blinkit,63565,mumbai,2,378
2026-07-11,blinkit,68254,mumbai,2,298
2026-07-11,blinkit,792937,hyderabad,1,95
2026-07-11,blinkit,18503,bangalore,1,99
2026-07-11,blinkit,63565,hyderabad,1,189
2026-07-11,blinkit,63565,bangalore,1,189
2026-07-11,blinkit,78553,chennai,1,99
2026-07-11,blinkit,78553,central goa,1,99
2026-07-11,blinkit,63565,mangaluru,1,189
2026-07-11,blinkit,18504,vizag,1,319
2026-07-11,blinkit,63565,bangalore,1,189
2026-07-11,blinkit,18506,kolkata,1,499
2026-07-11,blinkit,18504,kolkata,1,319
2026-07-11,blinkit,18506,delhi,1,499
2026-07-12,blinkit,18504,madurai,1,319
2026-07-12,blinkit,18503,hyderabad,1,99
2026-07-12,blinkit,792937,hyderabad,2,190
2026-07-12,blinkit,68254,chennai,1,149
2026-07-12,blinkit,63565,pune,1,189
2026-07-12,blinkit,792937,bangalore,1,95
2026-07-12,blinkit,792937,mumbai,1,95
2026-07-12,blinkit,63565,bangalore,1,189
2026-07-12,blinkit,18506,mumbai,1,499
2026-07-12,blinkit,18504,delhi,1,319
2026-07-12,blinkit,78553,kochi,2,198
2026-07-12,blinkit,63565,mumbai,1,189
2026-07-12,blinkit,197453,hyderabad,2,338
2026-07-12,blinkit,78553,bangalore,1,99
2026-07-12,blinkit,18503,udaipur,2,198
2026-07-12,blinkit,18504,madurai,1,319
2026-07-12,blinkit,78553,chennai,1,99
2026-07-12,blinkit,68254,mumbai,1,149
2026-07-12,blinkit,18504,thrissur,1,319
2026-07-12,blinkit,68254,bangalore,1,149
2026-07-12,blinkit,68254,pune,2,298
2026-07-12,blinkit,792937,mangaluru,2,190
2026-07-12,blinkit,18504,guwahati,1,319
2026-07-12,blinkit,78553,vizag,1,99
2026-07-12,blinkit,78553,indore,1,99
2026-07-12,blinkit,18503,mysore,1,99
2026-07-12,blinkit,792937,chennai,1,95
2026-07-12,blinkit,78553,delhi,1,99
2026-07-12,blinkit,792937,pune,2,190
2026-07-12,blinkit,68254,mumbai,1,149
2026-07-12,blinkit,78553,bangalore,1,99
2026-07-12,blinkit,78553,pune,2,198
2026-07-12,blinkit,78553,bangalore,2,198
2026-07-12,blinkit,68254,bangalore,4,596
2026-07-12,blinkit,18504,bangalore,1,319
2026-07-12,blinkit,792937,warangal,1,95
2026-07-12,blinkit,792937,hyderabad,1,95
2026-07-12,blinkit,18503,hyderabad,1,99
2026-07-12,blinkit,18503,chennai,2,198
2026-07-12,blinkit,68254,hyderabad,1,149
2026-07-12,blinkit,18503,bangalore,1,99
2026-07-12,blinkit,18504,chennai,1,319
2026-07-12,blinkit,18503,kolkata,1,99
2026-07-12,blinkit,792937,chennai,1,95
2026-07-12,blinkit,18503,chennai,1,99
2026-07-12,blinkit,792937,hyderabad,1,95
2026-07-12,blinkit,63565,vadodara,1,189
2026-07-12,blinkit,18504,bangalore,1,319
2026-07-12,blinkit,78553,chennai,1,99
2026-07-12,blinkit,68254,mumbai,1,149
2026-07-12,blinkit,18503,hyderabad,1,99
2026-07-12,blinkit,18506,chennai,1,499
2026-07-12,blinkit,197453,hyderabad,1,169
2026-07-12,blinkit,68254,chennai,2,298
2026-07-12,blinkit,63565,bangalore,2,378
2026-07-12,blinkit,63565,bangalore,2,378
2026-07-11,blinkit,792937,noida 1,1,95
2026-07-11,blinkit,68254,kolkata,1,149
2026-07-11,blinkit,18504,bangalore,1,319
2026-07-11,blinkit,78553,kochi,1,99
2026-07-11,blinkit,792937,bangalore,1,95
2026-07-11,blinkit,78553,bangalore,1,99
2026-07-11,blinkit,197453,coimbatore,1,169
2026-07-11,blinkit,68254,delhi,1,149
2026-07-11,blinkit,63565,bangalore,3,567
2026-07-11,blinkit,63565,kolkata,2,378
2026-07-11,blinkit,63565,bangalore,2,378
2026-07-10,blinkit,792937,mumbai,1,95
2026-07-21,blinkit,78553,bangalore,1,99
2026-07-21,blinkit,68254,chennai,1,149
2026-07-21,blinkit,63565,hubli,1,189
2026-07-21,blinkit,68254,mumbai,2,298
2026-07-21,blinkit,18503,bangalore,1,99
2026-07-21,blinkit,18503,mumbai,1,99
2026-07-21,blinkit,18503,patna,1,99
2026-07-21,blinkit,63565,pune,1,189
2026-07-21,blinkit,18503,chennai,1,99
2026-07-21,blinkit,63565,bangalore,1,189
2026-07-21,blinkit,68254,noida 1,1,149
2026-07-21,blinkit,78553,hubli,1,99
2026-07-21,blinkit,792937,delhi,1,95
2026-07-21,blinkit,68254,chennai,1,149
2026-07-20,blinkit,78553,bangalore,1,99
2026-07-20,blinkit,18503,gurgaon,1,99
2026-07-20,blinkit,78553,hyderabad,1,99
2026-07-20,blinkit,68254,pune,1,149
2026-07-20,blinkit,78553,bhopal,1,99
2026-07-20,blinkit,197453,bangalore,2,334
2026-07-20,blinkit,68254,mumbai,1,149
2026-07-20,blinkit,68254,delhi,1,149
2026-07-20,blinkit,68254,hyderabad,2,298
2026-07-19,blinkit,68254,bangalore,2,298
2026-07-19,blinkit,18506,delhi,1,499
2026-07-19,blinkit,18503,noida 1,2,198
2026-07-19,blinkit,792937,bangalore,1,95
2026-07-19,blinkit,18504,chennai,1,319
2026-07-19,blinkit,18504,mumbai,1,319
2026-07-19,blinkit,18504,kochi,1,319
2026-07-19,blinkit,78553,bangalore,1,99
2026-07-19,blinkit,18503,hyderabad,1,99
2026-07-19,blinkit,18503,kolkata,2,198
2026-07-19,blinkit,18506,mumbai,2,998
2026-07-19,blinkit,792937,chennai,1,95
2026-07-19,blinkit,68254,bangalore,1,149
2026-07-19,blinkit,18503,kolkata,1,99
2026-07-19,blinkit,63565,chennai,3,567
2026-07-19,blinkit,792937,bangalore,1,95
2026-07-19,blinkit,68254,delhi,2,298
2026-07-19,blinkit,68254,bangalore,2,298
2026-07-19,blinkit,68254,bangalore,1,149
2026-07-19,blinkit,18503,bangalore,2,198
2026-07-19,blinkit,68254,kollam,1,149
2026-07-19,blinkit,18503,hyderabad,1,99
2026-07-19,blinkit,18506,kottayam,1,499
2026-07-19,blinkit,18503,bhubaneswar,1,99
2026-07-19,blinkit,68254,mumbai,1,149
2026-07-19,blinkit,63565,noida 1,1,189
2026-07-19,blinkit,78553,mumbai,1,99
2026-07-19,blinkit,18506,mumbai,1,499
2026-07-19,blinkit,78553,chennai,1,99
2026-07-19,blinkit,68254,hyderabad,1,149
2026-07-19,blinkit,792937,chennai,1,95
2026-07-19,blinkit,78553,bangalore,1,99
2026-07-19,blinkit,63565,delhi,1,189
2026-07-19,blinkit,68254,mumbai,1,149
2026-07-19,blinkit,63565,varanasi,1,189
2026-07-19,blinkit,68254,bangalore,1,149
2026-07-19,blinkit,18504,dehradun,1,319
2026-07-19,blinkit,78553,bangalore,1,99
2026-07-19,blinkit,18503,noida 1,1,99
2026-07-19,blinkit,63565,bangalore,2,378
2026-07-19,blinkit,63565,chennai,3,567
2026-07-20,blinkit,78553,chennai,1,99
2026-07-20,blinkit,78553,bangalore,1,99
2026-07-20,blinkit,792937,ranchi,1,95
2026-07-20,blinkit,78553,davanagere,1,99
2026-07-20,blinkit,18503,mumbai,2,198
2026-07-20,blinkit,18506,hyderabad,1,499
2026-07-20,blinkit,18503,surat,1,99
2026-07-20,blinkit,792937,hyderabad,1,95
2026-07-20,blinkit,18504,tirupur,1,319
2026-07-22,blinkit,18503,hyderabad,1,99
2026-07-22,blinkit,63565,ambala,2,378
2026-07-22,blinkit,18503,hyderabad,1,99
2026-07-22,blinkit,18506,bangalore,2,998
2026-07-23,blinkit,792937,chennai,1,95
2026-07-23,blinkit,18506,gurgaon,2,998
2026-07-23,blinkit,68254,hyderabad,2,298
2026-07-23,blinkit,18504,hyderabad,1,319
2026-07-23,blinkit,792937,chennai,2,190
2026-07-23,blinkit,78553,guntur,1,99
2026-07-23,blinkit,792937,bangalore,3,285
2026-07-23,blinkit,78553,central goa,3,297
2026-07-23,blinkit,197453,pune,1,169
2026-07-23,blinkit,63565,mumbai,1,189
2026-07-23,blinkit,18503,hyderabad,1,99
2026-07-23,blinkit,792937,pune,1,95
2026-07-23,blinkit,78553,pune,1,99
2026-07-23,blinkit,792937,chennai,1,95
2026-07-23,blinkit,18503,bangalore,1,99
2026-07-23,blinkit,18504,bangalore,2,638
2026-07-21,blinkit,68254,mumbai,2,298
2026-07-21,blinkit,78553,bangalore,1,99
2026-07-21,blinkit,792937,warangal,1,95
2026-07-21,blinkit,78553,pune,1,99
2026-07-21,blinkit,18503,noida 1,2,198
2026-07-21,blinkit,197453,bangalore,1,169
2026-07-21,blinkit,18504,kolkata,1,319
2026-07-21,blinkit,792937,chennai,1,95
2026-07-21,blinkit,18503,hyderabad,1,99
2026-07-21,blinkit,792937,chennai,1,95
2026-07-21,blinkit,792937,bangalore,1,95
2026-07-21,blinkit,78553,siliguri,1,99
2026-07-21,blinkit,18503,chennai,1,99
2026-07-21,blinkit,18506,hyderabad,2,998
2026-07-22,blinkit,792937,hyderabad,1,95
2026-07-22,blinkit,68254,bangalore,1,149
2026-07-22,blinkit,18503,bangalore,1,99
2026-07-22,blinkit,68254,bangalore,1,149
2026-07-22,blinkit,68254,chennai,1,149
2026-07-22,blinkit,18503,mumbai,1,99
2026-07-22,blinkit,792937,warangal,1,95
2026-07-22,blinkit,18503,chennai,3,297
2026-07-22,blinkit,18503,gurgaon,3,297
2026-07-22,blinkit,63565,lucknow,1,189
2026-07-22,blinkit,78553,mumbai,2,198
2026-07-22,blinkit,792937,central goa,1,95
2026-07-22,blinkit,18506,delhi,1,499
2026-07-22,blinkit,18503,bangalore,1,99
2026-07-22,blinkit,78553,chennai,1,99
2026-07-22,blinkit,792937,delhi,1,95
2026-07-22,blinkit,792937,mumbai,1,95
2026-07-22,blinkit,18503,patna,1,99
2026-07-22,blinkit,78553,vijayawada,1,99
2026-07-22,blinkit,63565,noida 1,1,189
2026-07-22,blinkit,18506,mumbai,1,499
2026-07-22,blinkit,63565,bangalore,1,189
2026-07-22,blinkit,197453,bangalore,1,169
2026-07-22,blinkit,18504,hyderabad,1,319
2026-07-22,blinkit,792937,bangalore,1,95
2026-07-21,blinkit,63565,ajmer,1,189
2026-07-21,blinkit,18506,pune,1,499
2026-07-21,blinkit,18503,pondicherry,1,99
2026-07-21,blinkit,18503,bangalore,1,99
2026-07-21,blinkit,18504,vizag,1,319
2026-07-21,blinkit,18503,hyderabad,1,99
2026-07-21,blinkit,792937,bangalore,3,285
2026-07-21,blinkit,18503,hyderabad,1,99
2026-07-21,blinkit,18506,mumbai,1,499
2026-07-21,blinkit,18503,gurgaon,1,99
2026-07-21,blinkit,792937,pune,1,95
2026-07-21,blinkit,63565,bangalore,1,189
2026-07-11,blinkit,792937,chennai,1,95
2026-07-11,blinkit,18503,bangalore,2,198
2026-07-11,blinkit,63565,bangalore,1,189
2026-07-11,blinkit,18504,mumbai,1,319
2026-07-11,blinkit,792937,hyderabad,1,95
2026-07-11,blinkit,63565,bangalore,1,189
2026-07-12,blinkit,63565,delhi,1,189
2026-07-12,blinkit,18503,hyderabad,2,198
2026-07-12,blinkit,78553,dibrugarh,1,99
2026-07-12,blinkit,63565,vadodara,1,189
2026-07-12,blinkit,63565,mumbai,1,189
2026-07-12,blinkit,78553,bangalore,1,99
2026-07-12,blinkit,63565,kanpur,1,189
2026-07-12,blinkit,18503,mumbai,1,99
2026-07-12,blinkit,63565,pune,1,189
2026-07-12,blinkit,68254,delhi,1,149
2026-07-12,blinkit,18504,guntur,1,319
2026-07-12,blinkit,78553,vizag,1,99
2026-07-12,blinkit,18506,mumbai,1,499
2026-07-12,blinkit,63565,chennai,1,189
2026-07-12,blinkit,18506,pune,1,499
2026-07-12,blinkit,57850,vapi,1,109
2026-07-12,blinkit,68254,hyderabad,1,149
2026-07-12,blinkit,18506,mumbai,1,499
2026-07-12,blinkit,18503,bangalore,2,198
2026-07-12,blinkit,68254,delhi,1,149
2026-07-12,blinkit,78553,hyderabad,3,297
2026-07-12,blinkit,792937,chennai,3,285
2026-07-12,blinkit,18503,pune,1,99
2026-07-12,blinkit,18504,pondicherry,1,319
2026-07-12,blinkit,78553,bangalore,1,99
2026-07-12,blinkit,63565,mumbai,1,189
2026-07-12,blinkit,18503,chennai,1,99
2026-07-12,blinkit,18504,chennai,1,319
2026-07-12,blinkit,18504,central goa,1,319
2026-07-12,blinkit,78553,chennai,1,99
2026-07-12,blinkit,197453,kolkata,1,169
2026-07-12,blinkit,63565,noida,1,189
2026-07-11,blinkit,792937,delhi,1,95
2026-07-11,blinkit,63565,bangalore,1,189
2026-07-11,blinkit,792937,mumbai,1,95
2026-07-11,blinkit,792937,hyderabad,2,190
