date,platform,internal_sku,warehouse,stock_on_hand
,instamart,792937,CHN ECOM,142
,instamart,792937,CHE AMB IM2,162
,instamart,792937,KOC IM1,0
,instamart,792937,KOL IM2,107
,instamart,792937,BLR DHL,103
,instamart,792937,BLR ECOM2,195
,instamart,792937,NAG IM1,13
,instamart,792937,CHD ECOM,27
,instamart,792937,CHD_IM2,0
,instamart,995391,NOI IM1,0
